path,class_name
project_results\raw_dataset\Sphynx\sphynx_109.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_195.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_21.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_171.jpg,Himalayan
project_results\raw_dataset\Exotic Shorthair\exotic_209.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_124.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_164.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_350.jpg,Abyssinian
project_results\raw_dataset\Himalayan\himalayan_56.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_122.jpg,Russian Blue
project_results\raw_dataset\Maine Coon\mainecoon_498.jpg,Maine Coon
project_results\raw_dataset\Scottish Fold\scottish_178.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_482.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_213.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_323.jpg,Sphynx
project_results\raw_dataset\Siamese\siamese_235.jpg,Siamese
project_results\raw_dataset\Abyssinian\abys_379.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_292.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_410.jpg,Exotic Shorthair
project_results\raw_dataset\Egyptian Mau\egyptian_309.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_217.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_271.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_303.jpg,Scottish Fold
project_results\raw_dataset\Egyptian Mau\egyptian_431.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_209.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_99.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_400.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_83.jpg,Exotic Shorthair
project_results\raw_dataset\Egyptian Mau\egyptian_494.jpg,Egyptian Mau
project_results\raw_dataset\Maine Coon\mainecoon_411.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_396.jpg,Himalayan
project_results\raw_dataset\Siamese\siamese_126.jpg,Siamese
project_results\raw_dataset\Abyssinian\abys_236.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_172.jpg,Exotic Shorthair
project_results\raw_dataset\Abyssinian\abys_126.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_205.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_403.jpg,Egyptian Mau
project_results\raw_dataset\Russian Blue\russianblue_344.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_281.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_65.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_483.jpg,Egyptian Mau
project_results\raw_dataset\Scottish Fold\scottish_298.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_474.jpg,Himalayan
project_results\raw_dataset\Siamese\siamese_227.jpg,Siamese
project_results\raw_dataset\Scottish Fold\scottish_370.jpg,Scottish Fold
project_results\raw_dataset\Russian Blue\russianblue_142.jpg,Russian Blue
project_results\raw_dataset\Russian Blue\russianblue_231.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_404.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_159.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_201.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_277.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_188.jpg,Siamese
project_results\raw_dataset\Himalayan\himalayan_105.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_216.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_340.jpg,Siamese
project_results\raw_dataset\Maine Coon\mainecoon_336.jpg,Maine Coon
project_results\raw_dataset\Sphynx\sphynx_248.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_323.jpg,Maine Coon
project_results\raw_dataset\Maine Coon\mainecoon_441.jpg,Maine Coon
project_results\raw_dataset\Egyptian Mau\egyptian_140.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_113.jpg,Siamese
project_results\raw_dataset\Scottish Fold\scottish_352.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_183.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_254.jpg,Himalayan
project_results\raw_dataset\Bombay\bombay_298.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_234.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_442.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_173.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_461.jpg,Exotic Shorthair
project_results\raw_dataset\Abyssinian\abys_297.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_125.jpg,Abyssinian
project_results\raw_dataset\Scottish Fold\scottish_12.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_389.jpg,Scottish Fold
project_results\raw_dataset\Abyssinian\abys_495.jpg,Abyssinian
project_results\raw_dataset\Sphynx\sphynx_334.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_16.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_302.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_415.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_442.jpg,Exotic Shorthair
project_results\raw_dataset\Maine Coon\mainecoon_97.jpg,Maine Coon
project_results\raw_dataset\Maine Coon\mainecoon_471.jpg,Maine Coon
project_results\raw_dataset\Egyptian Mau\egyptian_458.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_25.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_290.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_483.jpg,Exotic Shorthair
project_results\raw_dataset\Maine Coon\mainecoon_12.jpg,Maine Coon
project_results\raw_dataset\Scottish Fold\scottish_364.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_53.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_362.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_356.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_483.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_366.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_391.jpg,Bombay
project_results\raw_dataset\Maine Coon\mainecoon_322.jpg,Maine Coon
project_results\raw_dataset\Sphynx\sphynx_392.jpg,Sphynx
project_results\raw_dataset\Exotic Shorthair\exotic_278.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_58.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_491.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_286.jpg,Abyssinian
project_results\raw_dataset\Himalayan\himalayan_10.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_475.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_293.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_481.jpg,Himalayan
project_results\raw_dataset\Bombay\bombay_357.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_308.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_98.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_360.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_103.jpg,Abyssinian
project_results\raw_dataset\Scottish Fold\scottish_107.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_149.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_274.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_61.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_448.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_168.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_358.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_40.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_462.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_107.jpg,Maine Coon
project_results\raw_dataset\Bombay\bombay_99.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_428.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_285.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_10.jpg,Scottish Fold
project_results\raw_dataset\Abyssinian\abys_111.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_431.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_314.jpg,Maine Coon
project_results\raw_dataset\Scottish Fold\scottish_62.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_478.jpg,Exotic Shorthair
project_results\raw_dataset\Siamese\siamese_356.jpg,Siamese
project_results\raw_dataset\Scottish Fold\scottish_346.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_480.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_366.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_161.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_344.jpg,Maine Coon
project_results\raw_dataset\Egyptian Mau\egyptian_63.jpg,Egyptian Mau
project_results\raw_dataset\Russian Blue\russianblue_99.jpg,Russian Blue
project_results\raw_dataset\Scottish Fold\scottish_450.jpg,Scottish Fold
project_results\raw_dataset\Abyssinian\abys_468.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_80.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_497.jpg,Exotic Shorthair
project_results\raw_dataset\Egyptian Mau\egyptian_177.jpg,Egyptian Mau
project_results\raw_dataset\Himalayan\himalayan_383.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_117.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_488.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_475.jpg,Exotic Shorthair
project_results\raw_dataset\Scottish Fold\scottish_300.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_212.jpg,Himalayan
project_results\raw_dataset\Siamese\siamese_491.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_388.jpg,Bombay
project_results\raw_dataset\Egyptian Mau\egyptian_430.jpg,Egyptian Mau
project_results\raw_dataset\Abyssinian\abys_152.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_321.jpg,Egyptian Mau
project_results\raw_dataset\Maine Coon\mainecoon_261.jpg,Maine Coon
project_results\raw_dataset\Egyptian Mau\egyptian_285.jpg,Egyptian Mau
project_results\raw_dataset\Egyptian Mau\egyptian_277.jpg,Egyptian Mau
project_results\raw_dataset\Himalayan\himalayan_144.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_487.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_422.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_437.jpg,Siamese
project_results\raw_dataset\Exotic Shorthair\exotic_376.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_25.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_335.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_113.jpg,Himalayan
project_results\raw_dataset\Exotic Shorthair\exotic_431.jpg,Exotic Shorthair
project_results\raw_dataset\Egyptian Mau\egyptian_313.jpg,Egyptian Mau
project_results\raw_dataset\Maine Coon\mainecoon_272.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_171.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_85.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_295.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_50.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_413.jpg,Russian Blue
project_results\raw_dataset\Himalayan\himalayan_131.jpg,Himalayan
project_results\raw_dataset\Bombay\bombay_223.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_88.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_328.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_66.jpg,Abyssinian
project_results\raw_dataset\Bombay\bombay_142.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_140.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_258.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_429.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_363.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_171.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_411.jpg,Scottish Fold
project_results\raw_dataset\Himalayan\himalayan_490.jpg,Himalayan
project_results\raw_dataset\Siamese\siamese_436.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_91.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_123.jpg,Siamese
project_results\raw_dataset\Siamese\siamese_215.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_149.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_115.jpg,Russian Blue
project_results\raw_dataset\Russian Blue\russianblue_270.jpg,Russian Blue
project_results\raw_dataset\Russian Blue\russianblue_30.jpg,Russian Blue
project_results\raw_dataset\Maine Coon\mainecoon_337.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_173.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_327.jpg,Exotic Shorthair
project_results\raw_dataset\Maine Coon\mainecoon_206.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_34.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_51.jpg,Maine Coon
project_results\raw_dataset\Scottish Fold\scottish_13.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_349.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_19.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_2.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_147.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_107.jpg,Russian Blue
project_results\raw_dataset\Maine Coon\mainecoon_149.jpg,Maine Coon
project_results\raw_dataset\Egyptian Mau\egyptian_262.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_394.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_391.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_288.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_345.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_47.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_287.jpg,Bombay
project_results\raw_dataset\Egyptian Mau\egyptian_346.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_393.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_108.jpg,Egyptian Mau
project_results\raw_dataset\Russian Blue\russianblue_444.jpg,Russian Blue
project_results\raw_dataset\Russian Blue\russianblue_117.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_419.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_62.jpg,Egyptian Mau
project_results\raw_dataset\Himalayan\himalayan_28.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_275.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_262.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_449.jpg,Scottish Fold
project_results\raw_dataset\Russian Blue\russianblue_64.jpg,Russian Blue
project_results\raw_dataset\Himalayan\himalayan_53.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_58.jpg,Himalayan
project_results\raw_dataset\Egyptian Mau\egyptian_202.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_252.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_267.jpg,Bombay
project_results\raw_dataset\Egyptian Mau\egyptian_354.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_27.jpg,Sphynx
project_results\raw_dataset\Scottish Fold\scottish_81.jpg,Scottish Fold
project_results\raw_dataset\Russian Blue\russianblue_364.jpg,Russian Blue
project_results\raw_dataset\Himalayan\himalayan_170.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_357.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_285.jpg,Siamese
project_results\raw_dataset\Himalayan\himalayan_100.jpg,Himalayan
project_results\raw_dataset\Siamese\siamese_441.jpg,Siamese
project_results\raw_dataset\Sphynx\sphynx_330.jpg,Sphynx
project_results\raw_dataset\Himalayan\himalayan_127.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_496.jpg,Maine Coon
project_results\raw_dataset\Russian Blue\russianblue_181.jpg,Russian Blue
project_results\raw_dataset\Himalayan\himalayan_211.jpg,Himalayan
project_results\raw_dataset\Russian Blue\russianblue_160.jpg,Russian Blue
project_results\raw_dataset\Egyptian Mau\egyptian_4.jpg,Egyptian Mau
project_results\raw_dataset\Exotic Shorthair\exotic_447.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_375.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_123.jpg,Sphynx
project_results\raw_dataset\Egyptian Mau\egyptian_3.jpg,Egyptian Mau
project_results\raw_dataset\Siamese\siamese_112.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_427.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_253.jpg,Bombay
project_results\raw_dataset\Egyptian Mau\egyptian_404.jpg,Egyptian Mau
project_results\raw_dataset\Scottish Fold\scottish_118.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_62.jpg,Maine Coon
project_results\raw_dataset\Sphynx\sphynx_379.jpg,Sphynx
project_results\raw_dataset\Himalayan\himalayan_143.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_151.jpg,Himalayan
project_results\raw_dataset\Bombay\bombay_263.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_363.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_400.jpg,Egyptian Mau
project_results\raw_dataset\Sphynx\sphynx_100.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_63.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_390.jpg,Abyssinian
project_results\raw_dataset\Sphynx\sphynx_74.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_160.jpg,Maine Coon
project_results\raw_dataset\Sphynx\sphynx_195.jpg,Sphynx
project_results\raw_dataset\Maine Coon\mainecoon_15.jpg,Maine Coon
project_results\raw_dataset\Scottish Fold\scottish_175.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_366.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_141.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_1.jpg,Bombay
project_results\raw_dataset\Russian Blue\russianblue_421.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_135.jpg,Sphynx
project_results\raw_dataset\Himalayan\himalayan_312.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_490.jpg,Sphynx
project_results\raw_dataset\Bombay\bombay_194.jpg,Bombay
project_results\raw_dataset\Sphynx\sphynx_145.jpg,Sphynx
project_results\raw_dataset\Exotic Shorthair\exotic_207.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_442.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_185.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_231.jpg,Exotic Shorthair
project_results\raw_dataset\Abyssinian\abys_204.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_407.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_225.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_322.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_18.jpg,Egyptian Mau
project_results\raw_dataset\Russian Blue\russianblue_152.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_30.jpg,Siamese
project_results\raw_dataset\Siamese\siamese_461.jpg,Siamese
project_results\raw_dataset\Scottish Fold\scottish_336.jpg,Scottish Fold
project_results\raw_dataset\Siamese\siamese_494.jpg,Siamese
project_results\raw_dataset\Abyssinian\abys_165.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_393.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_147.jpg,Egyptian Mau
project_results\raw_dataset\Russian Blue\russianblue_388.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_40.jpg,Sphynx
project_results\raw_dataset\Sphynx\sphynx_120.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_493.jpg,Russian Blue
project_results\raw_dataset\Bombay\bombay_211.jpg,Bombay
project_results\raw_dataset\Bombay\bombay_407.jpg,Bombay
project_results\raw_dataset\Maine Coon\mainecoon_120.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_357.jpg,Abyssinian
project_results\raw_dataset\Maine Coon\mainecoon_246.jpg,Maine Coon
project_results\raw_dataset\Siamese\siamese_204.jpg,Siamese
project_results\raw_dataset\Exotic Shorthair\exotic_114.jpg,Exotic Shorthair
project_results\raw_dataset\Egyptian Mau\egyptian_219.jpg,Egyptian Mau
project_results\raw_dataset\Himalayan\himalayan_84.jpg,Himalayan
project_results\raw_dataset\Abyssinian\abys_135.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_310.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_300.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_85.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_481.jpg,Bombay
project_results\raw_dataset\Siamese\siamese_184.jpg,Siamese
project_results\raw_dataset\Siamese\siamese_198.jpg,Siamese
project_results\raw_dataset\Bombay\bombay_416.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_3.jpg,Exotic Shorthair
project_results\raw_dataset\Maine Coon\mainecoon_457.jpg,Maine Coon
project_results\raw_dataset\Abyssinian\abys_53.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_464.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_151.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_159.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_248.jpg,Exotic Shorthair
project_results\raw_dataset\Exotic Shorthair\exotic_329.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_91.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_161.jpg,Himalayan
project_results\raw_dataset\Sphynx\sphynx_32.jpg,Sphynx
project_results\raw_dataset\Himalayan\himalayan_133.jpg,Himalayan
project_results\raw_dataset\Himalayan\himalayan_226.jpg,Himalayan
project_results\raw_dataset\Scottish Fold\scottish_110.jpg,Scottish Fold
project_results\raw_dataset\Russian Blue\russianblue_132.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_432.jpg,Siamese
project_results\raw_dataset\Maine Coon\mainecoon_124.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_76.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_54.jpg,Himalayan
project_results\raw_dataset\Siamese\siamese_471.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_273.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_466.jpg,Bombay
project_results\raw_dataset\Exotic Shorthair\exotic_91.jpg,Exotic Shorthair
project_results\raw_dataset\Sphynx\sphynx_344.jpg,Sphynx
project_results\raw_dataset\Russian Blue\russianblue_222.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_279.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_464.jpg,Bombay
project_results\raw_dataset\Russian Blue\russianblue_192.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_489.jpg,Abyssinian
project_results\raw_dataset\Abyssinian\abys_130.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_81.jpg,Exotic Shorthair
